product_id,sku,product_name,category,status,base_price_min,base_price_max,currency,standard_moq,trial_moq,sample_available,sample_lead_time_days,mass_production_lead_time_days,oem_supported,odm_supported,logo_customization,color_customization,packaging_customization,certifications,supported_markets,specs_json
P011,HS50-35MM,UniversalTone 50,gaming_headset,active,10.0,14.0,USD,300,100,true,3,20,true,false,true,true,true,"CE,FCC,RoHS","EU,US,UK,JP","{""connection_type"":""3.5mm"",""driver_size"":""50mm"",""audio_channel"":""Stereo"",""microphone_type"":""Detachable"",""noise_reduction"":""Passive"",""battery_life"":"""",""platform_support"":""PC,PS5,Xbox,Switch"",""weight_grams"":275,""rgb"":0,""ear_cushion_material"":""Protein Leather""}"
P012,HS40-BT-50H,MarathonSound 40,gaming_headset,active,29.0,36.0,USD,500,100,true,5,30,true,true,true,true,true,"CE,FCC,RoHS","EU,US,UK","{""connection_type"":""2.4G,Bluetooth"",""driver_size"":""40mm"",""audio_channel"":""Stereo"",""microphone_type"":""Detachable"",""noise_reduction"":""ENC"",""battery_life"":""50h"",""platform_support"":""PC,PS5,Switch"",""weight_grams"":245,""rgb"":0,""ear_cushion_material"":""Fabric""}"
P013,CB-YC8-COIL,CoilLink YC8,custom_cable,active,7.0,10.0,USD,100,20,true,6,18,true,true,true,true,true,"CE,RoHS","EU,US,UK,JP","{""cable_type"":""Coiled"",""connector_a"":""USB-A"",""connector_b"":""USB-C"",""aviator_connector"":""YC8"",""total_length"":""1.8m"",""coil_length"":""20cm"",""sleeve_material"":""PET,Paracord"",""available_colors"":""black,white,purple,blue,pink"",""data_standard"":""USB 2.0""}"
P014,CB-GX16-COIL,AeroCoil GX16,custom_cable,active,6.0,9.0,USD,100,20,true,6,18,true,true,true,true,true,"CE,RoHS","EU,US,UK","{""cable_type"":""Coiled"",""connector_a"":""USB-A"",""connector_b"":""USB-C,Mini USB"",""aviator_connector"":""GX16"",""total_length"":""1.8m"",""coil_length"":""15cm"",""sleeve_material"":""Paracord"",""available_colors"":""black,white,red,green"",""data_standard"":""USB 2.0""}"
P015,CB-C2C-STRAIGHT,FlexLink C-to-C,custom_cable,active,3.2,5.0,USD,100,30,true,4,15,true,false,true,true,true,"CE,RoHS","EU,US,UK,JP","{""cable_type"":""Straight"",""connector_a"":""USB-C"",""connector_b"":""USB-C"",""aviator_connector"":""None"",""total_length"":""1.5m"",""coil_length"":""0cm"",""sleeve_material"":""PET"",""available_colors"":""black,white,gray"",""data_standard"":""USB 3.0""}"
P016,CB-LEMO-COIL,StudioLink LEMO-style,custom_cable,active,12.0,18.0,USD,50,10,true,8,22,true,true,true,true,true,"CE,RoHS","EU,US,UK,JP","{""cable_type"":""Coiled"",""connector_a"":""USB-A,USB-C"",""connector_b"":""USB-C"",""aviator_connector"":""LEMO-style"",""total_length"":""Custom"",""coil_length"":""Custom"",""sleeve_material"":""PET,Paracord"",""available_colors"":""custom"",""data_standard"":""USB 2.0""}"
P017,KC-PBT-CHERRY-135,ColorFoundry 135,custom_keycap,active,12.0,18.0,USD,300,50,true,10,35,true,true,true,true,true,"RoHS","EU,US,UK","{""material"":""PBT"",""manufacturing_method"":""Dye-sublimation"",""profile"":""Cherry"",""layout"":""ANSI,ISO"",""language"":""US,UK,German,French"",""key_count"":135,""shine_through"":0,""custom_artwork_supported"":1,""pantone_matching"":1}"
P018,KC-PBT-XDA-145,CanvasKeys XDA 145,custom_keycap,active,14.0,20.0,USD,300,50,true,10,38,true,true,true,true,true,"RoHS","EU,US,UK,JP","{""material"":""PBT"",""manufacturing_method"":""Five-sided Dye-sublimation"",""profile"":""XDA"",""layout"":""ANSI,ISO"",""language"":""US,UK,German,French"",""key_count"":145,""shine_through"":0,""custom_artwork_supported"":1,""pantone_matching"":1}"
P019,KC-ABS-DS-108,LumenCaps 108,custom_keycap,active,9.0,13.0,USD,500,100,true,8,30,true,false,true,true,true,"RoHS","EU,US,UK","{""material"":""ABS"",""manufacturing_method"":""Double-shot"",""profile"":""OEM"",""layout"":""ANSI"",""language"":""US"",""key_count"":108,""shine_through"":1,""custom_artwork_supported"":0,""pantone_matching"":1}"
P020,KC-PBT-SA-120,RetroForge SA 120,custom_keycap,active,16.0,23.0,USD,300,50,true,12,42,true,true,true,true,true,"RoHS","EU,US,UK,JP","{""material"":""PBT"",""manufacturing_method"":""Dye-sublimation"",""profile"":""SA"",""layout"":""ANSI,ISO"",""language"":""US,UK"",""key_count"":120,""shine_through"":0,""custom_artwork_supported"":1,""pantone_matching"":1}"

